OfficialID,Name,City,State,Country,Website,HUM,NAT,ANI,EDU,HEA,COM,REL,CUL,SPO,SourceURL,SourceDate
100002,Cancer Lifeline,Belfast,,GB-NIR,www.cancerlifeline.info,0,0,0,1,1,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100003,Strabane Ethnic Community Association,Strabane,Tyrone,GB-NIR,,0,0,0,0,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100004,Disability Action (Ni),Belfast.,,GB-NIR,www.disabilityaction.org,0,0,0,1,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100005,Supporting Communities Ni,Ballymena,Antrim,GB-NIR,www.supportingcommunities.org,1,0,0,1,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100006,Lagan Valley Rural Transport,Lisburn,Antrim,GB-NIR,www.laganvalleyruraltransport.co.uk,0,0,0,0,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100007,Clooney Soccer School,Altnagelvin Industrial Estate,Londonderry,GB-NIR,,0,0,0,0,1,1,0,0,1,https://www.charitycommissionni.org.uk/charity-search/,2019
100008,Advice Ni,Belfast,,GB-NIR,www.adviceni.net,0,0,0,1,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100009,Rural Community Network Ni,Cookstown,Tyrone,GB-NIR,www.ruralcommunitynetwork.org,0,1,0,1,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
100010,Drumellan Community Association,Craigavon,,GB-NIR,,0,0,0,1,0,1,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
104028,Crosskennan Lane Animal Sanctuary,26 Crosskennan Lane,Antrim,GB-NIR,www.crosskennanlane.org.uk,0,0,1,1,0,0,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
103233,The Northern Ireland Bat Group,Holywood,,GB-NIR,http://bats-ni.org.uk/,0,1,1,0,0,0,0,0,0,https://www.charitycommissionni.org.uk/charity-search/,2019
107230,Ted Clarke Memorial Trust,Dungannon,,GB-NIR,,0,0,0,0,0,0,0,0,1,https://www.charitycommissionni.org.uk/charity-search/,2019
106859,Belfast Music Society Limited,Belfast,,GB-NIR,www.belfastmusicsociety.org,0,0,0,0,0,0,0,1,0,https://www.charitycommissionni.org.uk/charity-search/,2019
